file_id	md5	size	urls	sample_id
1419f08f554e0c93f3b62fe90c571add	d7649fa5d922484dc263654f526be174	445163	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/CSM79HNU_ecs_relab.biom	1419f08f554e0c93f3b62fe90c56f0fe
1419f08f554e0c93f3b62fe90c572610	24de5776f75420bcffb1feeacbaf6d24	87452	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/CSM79HNU_pathabundance_relab.biom	1419f08f554e0c93f3b62fe90c56f0fe
cad5930efe6763b64b3ccf1cd60e8069	a85dfb4853b59618b7517add11f55d4b	6444863	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/CSM79HNU_genefamilies_relab.biom	1419f08f554e0c93f3b62fe90c56f0fe
cad5930efe6763b64b3ccf1cd60e8c19	86d3e092569fac2223066952c60987e4	712996	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/CSM79HNU_pathabundance_relab.biom	1419f08f554e0c93f3b62fe90c56f0fe
1419f08f554e0c93f3b62fe90c57331d	9b1ead00b9be83517fea66aada14e7df	10998	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmscp/CSM79HNU_taxonomic_profile.biom	1419f08f554e0c93f3b62fe90c56f0fe
1419f08f554e0c93f3b62fe90c571941	2be96cde7f5f9eb508f3b3816fe5aa6d	8775708	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/CSM79HNU_genefamilies_relab.biom	1419f08f554e0c93f3b62fe90c56f0fe
cad5930efe6763b64b3ccf1cd60e87fe	964b66897193758a6d7a7640047f5ee4	7956018	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/CSM79HNU_ecs_relab.biom	1419f08f554e0c93f3b62fe90c56f0fe
1419f08f554e0c93f3b62fe90c0a463f	49bcbe9771cdfd858dfe208d1b81f528	134591	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/CSM67UA2_pathabundance_relab.biom	1419f08f554e0c93f3b62fe90c0a1387
216b55a2f235085126ee6210d6340f95	f669e5033d82e2fb7ecb3b57ce54c8ac	702809	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/CSM67UA2_pathabundance_relab.biom	1419f08f554e0c93f3b62fe90c0a1387
1419f08f554e0c93f3b62fe90c0a390c	d889f196b9d5ea0fe6880cb83de8cd21	22062578	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/CSM67UA2_genefamilies_relab.biom	1419f08f554e0c93f3b62fe90c0a1387
1419f08f554e0c93f3b62fe90c0a51ba	5f1d73509251354ff7048e07b7e84911	22118	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmscp/CSM67UA2_taxonomic_profile.biom	1419f08f554e0c93f3b62fe90c0a1387
1419f08f554e0c93f3b62fe90c0a3c88	7b2781cde6324b215276ec2b1d2e8fdf	859632	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/CSM67UA2_ecs_relab.biom	1419f08f554e0c93f3b62fe90c0a1387
216b55a2f235085126ee6210d633f845	43f8910e75eb37ee44a0e86a52af9737	5072472	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/CSM67UA2_genefamilies_relab.biom	1419f08f554e0c93f3b62fe90c0a1387
216b55a2f235085126ee6210d6340661	ce859dd87731c8da661902f094f83038	7942663	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/CSM67UA2_ecs_relab.biom	1419f08f554e0c93f3b62fe90c0a1387
7cfd74d6803ea319683df75644975e62	b35d37dea34e267eb1f5a7971b4eb78d	19173919	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/PSMA263W_genefamilies_relab.biom	7cfd74d6803ea319683df75644973666
7cfd74d6803ea319683df75644977ef5	950f98eaefb44f117fe65e24f3409479	22255	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmscp/PSMA263W_taxonomic_profile.biom	7cfd74d6803ea319683df75644973666
cad5930efe6763b64b3ccf1cd664ef9f	e428650a48736e82e438393bfdcca7db	706115	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/PSMA263W_pathabundance_relab.biom	7cfd74d6803ea319683df75644973666
7cfd74d6803ea319683df75644976c02	10b63d95dbefd87a4c6e7d1c3a036bce	933591	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/PSMA263W_ecs_relab.biom	7cfd74d6803ea319683df75644973666
cad5930efe6763b64b3ccf1cd664df5b	9f2e0ac814a624da53736161afdc29bd	4615481	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/PSMA263W_genefamilies_relab.biom	7cfd74d6803ea319683df75644973666
7cfd74d6803ea319683df7564497737f	ce76b38e4bc6e90a05fd4378f276dfa9	156752	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/PSMA263W_pathabundance_relab.biom	7cfd74d6803ea319683df75644973666
cad5930efe6763b64b3ccf1cd664e27a	b53fac595465e369330cb61c1c88067e	7952623	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/PSMA263W_ecs_relab.biom	7cfd74d6803ea319683df75644973666
7cfd74d6803ea319683df7564435736e	d9a1e137948f035992346135ef32eab2	34533	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmscp/MSMA26AL_taxonomic_profile.biom	7cfd74d6803ea319683df756443543e8
7cfd74d6803ea319683df7564435627b	d9fdf5fedab899374418ff4766bb117f	38183769	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/MSMA26AL_genefamilies_relab.biom	7cfd74d6803ea319683df756443543e8
7cfd74d6803ea319683df75644356982	53e53eb45d700e03161fc899478dd8e0	1618249	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/MSMA26AL_ecs_relab.biom	7cfd74d6803ea319683df756443543e8
7cfd74d6803ea319683df75644356e89	dd99ba8881c7aa9a17150bc58f658a03	211231	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/MSMA26AL_pathabundance_relab.biom	7cfd74d6803ea319683df756443543e8
cad5930efe6763b64b3ccf1cd6177387	535a365b72394520c07d9ef21ad5fe7a	708701	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/HSM5MD7O_pathabundance_relab.biom	1419f08f554e0c93f3b62fe90c7a6cc3
cad5930efe6763b64b3ccf1cd61772de	bfe7057b7bcf6fbbdd84248cad035e34	7919261	https://downloads.hmpdacc.org/ihmp/ibd/metatranscriptome/microbiome/analysis/HSM5MD7O_ecs_relab.biom	1419f08f554e0c93f3b62fe90c7a6cc3
1419f08f554e0c93f3b62fe90c7a9cb9	b422ccee7dbbe8d8a1edd42ff43b5240	51803	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/HSM5MD7O_pathabundance_relab.biom	1419f08f554e0c93f3b62fe90c7a6cc3
1419f08f554e0c93f3b62fe90c7a9920	ae6f8887ca29287e21acb76ac00c3c10	311943	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/HSM5MD7O_ecs_relab.biom	1419f08f554e0c93f3b62fe90c7a6cc3
1419f08f554e0c93f3b62fe90c7aaca5	c6fc5da383c763269d9a7e6601daf042	12536	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmscp/HSM5MD7O_taxonomic_profile.biom	1419f08f554e0c93f3b62fe90c7a6cc3
1419f08f554e0c93f3b62fe90c7a8bfc	71d207ce10554d5f0d4b935a53636338	3438423	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/wgs/analysis/hmmrc/HSM5MD7O_genefamilies_relab.biom	1419f08f554e0c93f3b62fe90c7a6cc3
